sample_count,mean_error,rmse,median_error,p90_error,max_error,los_sample_count,los_mean_error,los_rmse,los_median_error,los_p90_error,los_max_error,nlos_sample_count,nlos_mean_error,nlos_rmse,nlos_median_error,nlos_p90_error,nlos_max_error,nlos_los_mean_degradation,nlos_los_mean_degradation_percent,algorithm,scenario,seed,evaluation_split,inference_time_ms,training_time_s,model_size_mb,seed_scope,mean_error_geometric_baseline,mean_error_change_vs_geometric,mean_error_absolute_improvement,mean_error_percent_improvement,absolute_error_change,absolute_improvement,percent_improvement
4000,4.960729320173699,5.541052525905404,4.725607173804594,8.301981827746559,14.862418546528026,842,3.928398883765028,4.249149521115321,3.9723525530222847,6.020436658192527,9.10997937955079,3158,5.235973850717111,5.837424672252063,4.940593478931361,8.865669962172873,14.862418546528026,1.307574966952083,33.285188333494446,Geometric LS,normal,42,spatial_holdout,5.190799999581941,2.099999619531445e-06,0.0006723403930664,independent_training,4.960729320173699,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.353794403575412,7.814411547738824,7.024303069855497,10.898081006900538,17.26108738962508,842,7.022897056758696,7.166740167294872,7.090752285099216,8.655440250520263,15.440245901695956,3158,7.4420197253042515,7.978223383967565,6.999484722888623,11.466042110257336,17.26108738962508,0.4191226685455556,5.967945495402075,KNN,normal,42,spatial_holdout,1.612199999726727,4.893909000000349,4.341403007507324,independent_training,4.960729320173699,2.393065083401713,-2.393065083401713,-48.24018665299643,2.393065083401713,-2.393065083401713,-48.24018665299643
4000,5.289876415039813,5.71646068869327,5.174748372214946,8.097592331610652,15.573899972273448,842,5.922257362546892,6.07111575898084,5.940424927281194,7.618048924624503,15.573899972273448,3158,5.1212681953435,5.6181218370741695,4.835399084255342,8.434958043488539,15.262029674573869,-0.800989167203392,-13.52506515959521,Direct AI,normal,42,spatial_holdout,3.768500000660424,20.88412470000003,0.163121223449707,independent_training,4.960729320173699,0.3291470948661139,-0.3291470948661139,-6.635054517640743,0.3291470948661139,-0.3291470948661139,-6.635054517640743
4000,3.605840841395844,4.257285287880477,3.2679417414056373,6.784347815082628,14.317268052502772,842,3.145546888945585,3.3279893226046737,3.116534943438252,4.478257261812872,7.378828466642055,3158,3.7285664613968312,4.472572462647073,3.3441979527621437,7.344674529559989,14.317268052502772,0.5830195724512461,18.53476018749412,Residual AI,normal,42,spatial_holdout,25.4955999998856,16.251457800000026,207.80686378479004,independent_training,4.960729320173699,-1.3548884787778546,1.3548884787778546,27.31228396735852,-1.3548884787778546,1.3548884787778546,27.31228396735852
4000,5.600986560348687,6.419306546683212,5.03800326182232,10.604523729453309,22.988267195040653,853,3.4348088410346977,3.8101911952017034,3.348412660561923,5.41683328221622,15.950144864953948,3147,6.188132920239006,6.960018145517579,5.5301505863097695,11.277026414350756,22.988267195040653,2.7533240792043085,80.1594559298648,Geometric LS,normal,123,spatial_holdout,5.190799999581941,1.1999982234556228e-06,0.0006723403930664,independent_training,5.600986560348687,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.775733219609501,8.196742955320067,7.521216196105623,11.453381434204507,18.04226097109591,853,7.505918490714817,7.711577468516642,7.480214409358572,9.514288708387198,18.04226097109591,3147,7.848866986291156,8.323377822436345,7.545746967562733,11.95718165303549,16.44546299265979,0.3429484955763398,4.569041030762373,KNN,normal,123,spatial_holdout,1.612199999726727,4.699704900000143,4.341403007507324,independent_training,5.600986560348687,2.174746659260814,-2.174746659260814,-38.82792139971544,2.174746659260814,-2.174746659260814,-38.82792139971544
4000,4.779036859336138,5.178800432719759,4.770450865554508,7.189091027345477,22.59080841577761,853,5.147381172843615,5.390489614235982,4.8418006043140585,7.233290520849462,16.535038853106393,3147,4.679196471849046,5.119914203716359,4.75122906081143,7.174397267881157,22.59080841577761,-0.468184700994569,-9.095590267621962,Direct AI,normal,123,spatial_holdout,3.768500000660424,21.12821410000106,0.163609504699707,independent_training,5.600986560348687,-0.8219497010125494,0.8219497010125494,14.675087900253402,-0.8219497010125494,0.8219497010125494,14.675087900253402
4000,4.224732543392428,5.261777210851418,3.4108139112200124,9.224542822992454,18.782702115017795,853,2.7164353088719184,2.971986657827033,2.730253020046889,4.075421142526654,13.269333149750508,3147,4.633559216746732,5.726831594793588,3.781804499653405,10.027846841044775,18.782702115017795,1.9171239078748128,70.57498853786277,Residual AI,normal,123,spatial_holdout,25.4955999998856,17.216312799999287,205.91980934143064,independent_training,5.600986560348687,-1.376254016956259,1.376254016956259,24.57163576679928,-1.376254016956259,1.376254016956259,24.57163576679928
4000,5.599830188353514,6.474739675739206,4.880573039733418,10.62131593985278,16.06073324641213,825,3.5279044297335616,3.805464948828042,3.5523746044313813,5.336144457615031,8.40632770884225,3175,6.138204598073659,7.003749852893256,5.3008729982331495,11.847304584271042,16.06073324641213,2.610300168340097,73.99010433333183,Geometric LS,normal,2026,spatial_holdout,5.190799999581941,1.1000010999850929e-06,0.0006723403930664,independent_training,5.599830188353514,0.0,0.0,0.0,0.0,0.0,0.0
4000,7.3124206208128335,7.881937263173911,6.927958278657303,11.287485055442156,20.355296886376813,825,7.506298203323926,7.710070839450616,7.425335627380193,9.27262515760589,16.67082163109744,3175,7.262042981262707,7.925985497615919,6.706764784285386,12.00311519053894,20.355296886376813,-0.244255222061219,-3.2540037105514728,KNN,normal,2026,spatial_holdout,1.612199999726727,4.649656400000822,4.341403007507324,independent_training,5.599830188353514,1.7125904324593195,-1.7125904324593195,-30.58289938900563,1.7125904324593195,-1.7125904324593195,-30.58289938900563
